id,is_pass
1626_45,0.24968153539100205
11020_130,0.9866897989563217
12652_146,0.4615138421961612
7038_72,0.010728649593826444
888_71,0.42505703631846226
18922_62,0.5618938361162745
5499_29,0.9702196725556334
10150_125,0.8364874463996976
10158_95,0.8751145251835781
6215_17,0.936864142378594
6719_121,0.9722095609835921
14498_175,0.8728989542665622
15169_153,0.9617182163111891
11094_23,0.25071109911817047
17853_11,0.9161563072312945
15437_157,0.9438556746786164
7156_53,0.6956918199893488
1406_69,0.6478578540143607
6127_32,0.6275918082869865
19983_89,0.89716052561383
14606_87,0.8544206338639336
15316_112,0.8370698628327482
2729_157,0.7954134454064279
15099_94,0.33748732145125326
1226_135,0.6099167137256661
5097_64,0.19728067612362524
7456_19,0.9647736327482587
5846_70,0.7097421039151063
12159_44,0.5822112358992323
17292_94,0.48175784199375454
7038_74,0.3483258710370375
10956_131,0.9774330989169603
8828_136,0.8809031217802671
10477_27,0.9179198648459926
18548_82,0.9721079139154608
4093_82,0.3045169924692483
299_160,0.911858039855614
6165_117,0.9499178042715277
1139_80,0.5095219345499964
6498_93,0.5245239792490538
18332_127,0.8974984562506719
4167_88,0.9842424558620099
5207_80,0.6303626389440852
9653_39,0.9481558407733779
9730_31,0.898400875447543
14676_158,0.7142444412312033
13104_57,0.8414789913481343
4695_32,0.5078002584196539
8544_81,0.9788073126911575
3175_103,0.8947312620082137
5294_167,0.7122765245886523
16934_97,0.37517958643257654
16711_154,0.8886484318779094
11574_83,0.08168548871249201
8183_84,0.40296189987708975
1986_164,0.9359408274900756
10067_21,0.8228668010142072
3588_154,0.9571987746191126
10785_65,0.37625085049553336
1858_144,0.7919468796876846
10801_174,0.8222771204841466
1645_149,0.860205875816149
8584_128,0.821566470790443
16381_47,0.8082429107297928
10042_28,0.9729961428738654
9725_125,0.8298364852862933
3906_95,0.6822878636355767
13921_40,0.5447171144603102
20096_103,0.40823329088320764
10021_101,0.4291271387905191
1035_19,0.7297883054640169
105_128,0.825464295294645
7720_87,0.48755907324351977
12174_50,0.3887103070888543
12560_89,0.49337706801884346
11847_86,0.6544261953688
10240_22,0.8439249520730825
7852_82,0.5402896168567674
3462_104,0.6673484015032277
3592_103,0.7859410567790032
18365_120,0.936393235014258
10326_23,0.2998081790611412
10334_135,0.8801380964638912
2893_118,0.9920494770476336
20072_67,0.19804548001148872
3308_9,0.3980534432752894
14550_170,0.762714239567963
1926_132,0.8193933856478393
6580_14,0.24544701030191488
2504_126,0.37431088694235154
16734_43,0.6141162047573838
5279_121,0.7566904933538356
11361_180,0.27387673841844007
9156_143,0.9184427357598947
8157_135,0.7873139796566667
4985_159,0.7542480354099542
7191_79,0.8303244210210018
13297_140,0.24374717798975998
10763_94,0.7500574817537452
15041_44,0.666720790015165
12038_82,0.9356669747517747
8503_133,0.8843641029865311
18334_11,0.49144294973538394
7731_77,0.13155783276396202
8658_141,0.900598400612238
7531_73,0.15076252711072316
412_143,0.9846094625914258
15721_109,0.7378175118854009
10921_25,0.8895794580682648
3366_73,0.15655162772384912
13524_88,0.7757839809255248
19818_73,0.2118375931951801
1800_90,0.7270679774817699
15120_182,0.9138424081025366
14355_94,0.9167143680340163
19593_83,0.9003054354890774
6051_74,0.44878301562574946
1300_44,0.5532610590229607
7326_79,0.5859520923847616
18295_152,0.9296488795558604
1322_73,0.3658134455795993
15009_159,0.3916514858142092
19400_114,0.8022809146875197
10190_141,0.24668230927379972
9530_166,0.8447005177822434
9155_136,0.9109494069561487
3281_114,0.5003404405442848
6962_16,0.943802493721854
14439_88,0.7061405119764902
11766_36,0.6782269842824385
2567_14,0.896679608755569
13337_51,0.855878141174862
3155_14,0.7127785414351966
8431_43,0.482984835929223
16864_100,0.33703032491925633
15816_95,0.9424408646563027
7850_49,0.30997920293344605
9331_132,0.7677614744667051
18321_69,0.46349963212836126
2661_3,0.2023028723015396
10790_128,0.616274742611294
15310_43,0.5838077653364041
805_135,0.9363951096347196
9609_169,0.9054871372280576
13486_144,0.38765426380323165
12394_32,0.8329007386107802
16943_179,0.40898141717801884
11233_83,0.8033525571972592
8225_50,0.12143437550095099
18931_22,0.3785047563839335
5027_73,0.42973020611414614
2845_76,0.3992690815242463
18309_43,0.6013492700953613
14295_57,0.9482738932797723
176_9,0.8812201430442423
19422_120,0.32414859499040627
7015_113,0.6048117816270699
2082_83,0.19684572730311659
10461_27,0.8662057448047785
3517_25,0.8565121107586974
1632_150,0.9027410305351085
14762_95,0.9364776437807811
8994_102,0.9559370161785066
2819_67,0.13970454317878814
9559_164,0.6584806596257119
6124_81,0.9698949603592801
12715_137,0.9087367417787116
18903_148,0.9288566393466084
1771_26,0.8083467130444346
10467_159,0.9063480545127861
12193_31,0.9181061644281452
6767_78,0.5848553180272735
19217_113,0.7305368915687601
7521_67,0.7538992040727053
9311_23,0.46104990107080673
5127_87,0.41470187303034767
15018_46,0.7786963317284058
16757_149,0.7384230559255053
13703_38,0.9713670477326385
11840_137,0.7721043880565279
4815_123,0.8111128020100234
12418_25,0.25936541303366106
6629_32,0.43885762752807045
12276_97,0.3302494921445709
17234_47,0.21476106196433417
4707_25,0.4692378389982778
17013_187,0.8980667451603629
18006_17,0.9525692914195806
13508_56,0.5498353469012721
6576_72,0.27892668224571804
2103_11,0.36617158161655794
14317_58,0.6290618871346171
16902_43,0.5761232976124925
3208_52,0.830312058398916
16348_155,0.917306124143401
194_62,0.8889311499873657
8566_25,0.43899725210395907
6122_120,0.9192161754550187
6956_55,0.5268732476398794
4666_21,0.8750954656980365
5633_87,0.40022039424606926
8586_101,0.3237778784350029
4173_74,0.8500070324064879
15570_96,0.488408475028639
3725_22,0.27616758963856264
18782_53,0.954879312785311
17983_76,0.9170554487585031
2790_61,0.5773258244003756
10881_44,0.3938919303869828
8363_143,0.8231421316206086
17627_153,0.2326010651354578
1843_6,0.3113387346989598
13693_33,0.6222203760916101
12309_39,0.9527425308952421
14885_94,0.9370428823712308
